"","step","state"
"1",1,3
"2",2,4
"3",3,4
"4",4,2
"5",5,3
"6",6,4
"7",7,4
"8",8,4
"9",9,4
"10",10,4
"11",11,4
"12",12,4
"13",13,4
"14",14,4
"15",15,4
"16",16,4
"17",17,4
"18",18,4
"19",19,4
"20",20,4
"21",21,2
"22",22,1
"23",23,1
"24",24,3
"25",25,2
"26",26,1
"27",27,1
"28",28,1
"29",29,3
"30",30,4
"31",31,2
"32",32,1
"33",33,3
"34",34,4
"35",35,4
"36",36,4
"37",37,4
"38",38,4
"39",39,4
"40",40,4
"41",41,4
"42",42,2
"43",43,3
"44",44,4
"45",45,4
"46",46,4
"47",47,2
"48",48,1
"49",49,1
"50",50,1
"51",51,1
"52",52,1
"53",53,1
"54",54,3
"55",55,4
"56",56,4
"57",57,4
"58",58,4
"59",59,4
"60",60,4
"61",61,4
"62",62,4
"63",63,2
"64",64,3
"65",65,2
"66",66,3
"67",67,4
"68",68,4
"69",69,4
"70",70,4
"71",71,4
"72",72,4
"73",73,4
"74",74,4
"75",75,4
"76",76,4
"77",77,4
"78",78,4
"79",79,4
"80",80,4
"81",81,4
"82",82,2
"83",83,3
"84",84,4
"85",85,4
"86",86,4
"87",87,4
"88",88,4
"89",89,4
"90",90,4
"91",91,2
"92",92,1
"93",93,1
"94",94,1
"95",95,1
"96",96,1
"97",97,1
"98",98,3
"99",99,4
"100",100,4
"101",101,4
"102",102,4
"103",103,4
"104",104,4
"105",105,2
"106",106,3
"107",107,4
"108",108,4
"109",109,4
"110",110,2
"111",111,1
"112",112,1
"113",113,1
"114",114,1
"115",115,1
"116",116,1
"117",117,3
"118",118,2
"119",119,1
"120",120,1
"121",121,1
"122",122,1
"123",123,1
"124",124,1
"125",125,1
"126",126,1
"127",127,1
"128",128,3
"129",129,2
"130",130,1
"131",131,1
"132",132,1
"133",133,1
"134",134,1
"135",135,1
"136",136,1
"137",137,3
"138",138,4
"139",139,2
"140",140,1
"141",141,1
"142",142,1
"143",143,3
